Voter_ID,First_Name,Mid_Name,Last_Name,Street,Zipcode,Party,Registered
1,Shekia,Nekeshia,BUCK,143 BANKS ST,16801,REP,TRUE
2,Colbey,Savion,STOKES,796 SONOMA ST,16801,REP,TRUE
3,Carver,Princeton,DAVIDSON,266 BANKS ST,16801,DEM,TRUE
4,Amee,Yecenia,BARNES,942 ALEMANY BLVD OFF RAMP,16801,IND,TRUE
5,Chett,Demetries,LE,983 ALEMANY BLVD OFF RAMP,16801,IND,TRUE
6,Beau,Eban,MAYS,453 ALEMANY BLVD OFF RAMP,16801,LIB,TRUE
7,Murray,Saher,RICHARDS,622 TOLEDO WAY,16801,DEM,TRUE
8,Thorn,Fayth,HANSEN,110 ALEMANY BLVD OFF RAMP,16801,DEM,TRUE
9,Visente,Jenaya,CHAPMAN,643 ALMA ST,16801,DEM,TRUE
10,Elson,Lynnsie,CALLAHAN,308 REGENT ST,16801,REP,TRUE
11,Alphonso,Tekesha,QUINTANA,307 TOLEDO WAY,16801,DEM,TRUE
12,Olive,Shalane,HENRY,670 ALEMANY BLVD OFF RAMP,16801,DEM,TRUE
13,Iasha,Lacora,PAGE,462 ALEMANY BLVD OFF RAMP,16801,LIB,TRUE
14,Jesten,Sieda,DILLON,421 BANKS ST,16801,REP,TRUE
15,Jawana,Jesyka,GOULD,858 TOLEDO WAY,16801,REP,TRUE
16,Delaine,Quiana,DANIEL,407 REGENT ST,16801,DEM,TRUE
17,Lisandra,Dawit,DEAN,891 TOLEDO WAY,16801,LIB,TRUE
18,Darcel,Deserai,MCGUIRE,265 ALEMANY BLVD OFF RAMP,16801,REP,TRUE
19,Laural,Dason,MELTON,145 BANKS ST,16801,IND,TRUE
20,Denai,Glendale,MCCARTHY,247 ALEMANY BLVD OFF RAMP,16801,REP,TRUE
21,Woodrow,Yasmeen,MCDOWELL,108 TOLEDO WAY,16801,REP,TRUE
22,Cristin,Pallavi,HANCOCK,625 TOLEDO WAY,16801,REP,TRUE
23,Shahida,Quentel,XIONG,803 ALMA ST,16801,DEM,TRUE
24,Terilyn,Alice,COFFEY,527 ALEMANY BLVD OFF RAMP,16801,REP,TRUE
25,Kellsie,Usman,HUMPHREY,960 REGENT ST,16801,REP,TRUE
26,Latoia,Kelan,VAUGHN,380 BANKS ST,16801,LIB,TRUE
27,Danish,Tarek,HAIL,380 ALMA ST,16801,DEM,TRUE
28,Deonte,Francis,JACOBSON,674 TOLEDO WAY,16801,IND,TRUE
29,Anwar,Ranna,MARSHALL,985 TOLEDO WAY,16801,IND,TRUE
30,Kirsta,Kjersti,PERALTA,403 SONOMA ST,16801,LIB,TRUE
31,Quanta,Aurelie,BARRON,400 BANKS ST,16801,REP,TRUE
32,Yesenia,Richardo,MCKINNEY,842 SONOMA ST,16801,REP,TRUE
33,Jimi,Deondrea,MAYER,691 TOLEDO WAY,16801,DEM,TRUE
34,Jessyka,Caitlynne,ALEXANDER,326 ALEMANY BLVD OFF RAMP,16801,REP,TRUE
35,Antrell,Andrina,YODER,760 ALMA ST,16801,DEM,TRUE
36,Tatum,Winfred,GILLESPIE,150 BANKS ST,16801,DEM,TRUE
37,Trinette,Bijan,BEASLEY,275 ALEMANY BLVD OFF RAMP,16801,SOC,TRUE
38,Cassara,Joushua,ZAVALA,562 REGENT ST,16801,DEM,TRUE
39,Tilisa,Niaja,GENTRY,990 BANKS ST,16801,IND,TRUE
40,Thomasine,Marixa,BATES,392 REGENT ST,16801,REP,TRUE
41,Sharlene,Tonae,CHANDLER,331 BANKS ST,16801,SOC,TRUE
42,Leimomi,Enos,HESTER,807 TOLEDO WAY,16801,LIB,TRUE
43,Antonious,Neeka,ACEVEDO,304 SONOMA ST,16801,DEM,TRUE
44,Joe,Alyce,LEE,450 ALEMANY BLVD OFF RAMP,16801,REP,TRUE
45,Steven,Vaishali,SHAFFER,729 BANKS ST,16801,REP,TRUE
46,Ashla,Soleil,VENTURA,715 REGENT ST,16801,LIB,TRUE
47,Lasharra,Dayana,MCLAUGHLIN,536 ALEMANY BLVD OFF RAMP,16801,DEM,TRUE
48,Mandrell,Kellianne,DUNCAN,266 ALMA ST,16801,IND,TRUE
